state,county,county_fips
California,Los Angeles,06037
Illinois,Cook,17031
Texas,Harris,48201
Arizona,Maricopa,04013
California,San Diego,06073
California,Orange,06059
Florida,Miami-Dade,12086
New York,Kings,36047
Texas,Dallas,48113
California,Riverside,06065
New York,Queens,36081
Nevada,Clark,32003
Washington,King,53033
California,San Bernardino,06071
Texas,Tarrant,48439
Texas,Bexar,48029
Florida,Broward,12011
California,Santa Clara,06085
Michigan,Wayne,26163
California,Alameda,06001
New York,New York,36061
Massachusetts,Middlesex,25017
Pennsylvania,Philadelphia,42101
California,Sacramento,06067
New York,Suffolk,36103
Florida,Palm Beach,12099
Florida,Hillsborough,12057
New York,Bronx,36005
Florida,Orange,12095
New York,Nassau,36059
Ohio,Franklin,39049
Texas,Travis,48453
Michigan,Oakland,26125
Minnesota,Hennepin,27053
Ohio,Cuyahoga,39035
Pennsylvania,Allegheny,42003
Utah,Salt Lake,49035
California,Contra Costa,06013
Virginia,Fairfax,51059
North Carolina,Wake,37183
North Carolina,Mecklenburg,37119
Texas,Collin,48085
Georgia,Fulton,13121
Maryland,Montgomery,24031
Arizona,Pima,04019
Hawaii,Honolulu,15003
California,Fresno,06019
Missouri,St. Louis,29189
New York,Westchester,36119
Florida,Duval,12031
Connecticut,Capitol,09110
Indiana,Marion,18097
Florida,Pinellas,12103
Georgia,Gwinnett,13135
Maryland,Prince George's,24033
New Jersey,Bergen,34003
New York,Erie,36029
Wisconsin,Milwaukee,55079
Illinois,DuPage,17043
Tennessee,Shelby,47157
Washington,Pierce,53053
Texas,Denton,48121
California,Kern,06029
Michigan,Macomb,26099
Texas,Hidalgo,48215
Texas,El Paso,48141
New Jersey,Middlesex,34023
Massachusetts,Worcester,25027
Pennsylvania,Montgomery,42091
New Jersey,Essex,34013
California,San Francisco,06075
Maryland,Baltimore,24005
California,Ventura,06111
Texas,Fort Bend,48157
Washington,Snohomish,53061
Ohio,Hamilton,39061
Oregon,Multnomah,41051
Massachusetts,Essex,25009
Oklahoma,Oklahoma,40109
Massachusetts,Suffolk,25025
California,San Joaquin,06077
Kentucky,Jefferson,21111
Florida,Lee,12071
Georgia,Cobb,13067
Georgia,DeKalb,13089
New York,Monroe,36055
California,San Mateo,06081
Florida,Polk,12105
Colorado,El Paso,08041
Massachusetts,Norfolk,25021
Missouri,Jackson,29095
Illinois,Lake,17097
New Jersey,Hudson,34017
Colorado,Denver,08031
Tennessee,Davidson,47037
Illinois,Will,17197
New Mexico,Bernalillo,35001
Alabama,Jefferson,01073
District of Columbia,District of Columbia,11001
Oklahoma,Tulsa,40143
Utah,Utah,49049
Rhode Island,Providence,44007
Michigan,Kent,26081
Colorado,Arapahoe,08005
Pennsylvania,Bucks,42017
New Jersey,Monmouth,34025
New Jersey,Ocean,34029
Texas,Montgomery,48339
Connecticut,Western Connecticut,09190
Texas,Williamson,48491
Kansas,Johnson,20091
Florida,Brevard,12009
Oregon,Washington,41067
Maryland,Anne Arundel,24003
Maryland,Baltimore,24510
Nebraska,Douglas,31055
Colorado,Jefferson,08059
Massachusetts,Bristol,25005
Pennsylvania,Delaware,42045
New Jersey,Union,34039
Connecticut,South Central Connecticut,09170
Delaware,New Castle,10003
Florida,Pasco,12101
Wisconsin,Dane,55025
Florida,Volusia,12127
Pennsylvania,Lancaster,42071
California,Stanislaus,06099
Minnesota,Ramsey,27123
North Carolina,Guilford,37081
Ohio,Summit,39153
Washington,Spokane,53063
Pennsylvania,Chester,42029
Ohio,Montgomery,39113
Massachusetts,Plymouth,25023
South Carolina,Greenville,45045
Kansas,Sedgwick,20173
New Jersey,Camden,34007
Colorado,Adams,08001
New Jersey,Passaic,34031
Illinois,Kane,17089
New Jersey,Morris,34027
Washington,Clark,53011
Indiana,Lake,18089
Idaho,Ada,16001
Iowa,Polk,19153
New York,Richmond,36085
California,Sonoma,06097
Nevada,Washoe,32031
Tennessee,Knox,47093
Virginia,Prince William,51153
California,Tulare,06107
New York,Onondaga,36067
Florida,Seminole,12117
Massachusetts,Hampden,25013
New Jersey,Burlington,34005
Virginia,Virginia Beach,51810
Pennsylvania,York,42133
Louisiana,East Baton Rouge,22033
Connecticut,Naugatuck Valley,09140
California,Solano,06095
California,Santa Barbara,06083
Florida,Sarasota,12115
Minnesota,Dakota,27037
California,Monterey,06053
Louisiana,Jefferson,22051
Arizona,Pinal,04021
Ohio,Lucas,39095
Pennsylvania,Berks,42011
New Hampshire,Hillsborough,33011
Texas,Cameron,48061
Oregon,Clackamas,41005
Virginia,Loudoun,51107
South Carolina,Richland,45079
Alabama,Mobile,01097
South Carolina,Charleston,45019
Wisconsin,Waukesha,55133
California,Placer,06061
Missouri,St. Charles,29183
Michigan,Genesee,26049
Florida,Manatee,12081
New York,Orange,36071
Arkansas,Pulaski,05119
Florida,Osceola,12097
Alabama,Madison,01089
Ohio,Butler,39017
Florida,Lake,12069
Indiana,Allen,18003
North Carolina,Forsyth,37067
New Jersey,Mercer,34021
Oregon,Lane,41039
Louisiana,Orleans,22071
Florida,Collier,12021
Florida,Marion,12083
Texas,Brazoria,48039
Ohio,Stark,39151
Pennsylvania,Lehigh,42077
Texas,Bell,48027
Michigan,Washtenaw,26161
Tennessee,Hamilton,47065
Virginia,Chesterfield,51041
Minnesota,Anoka,27003
Utah,Davis,49011
Colorado,Douglas,08035
Colorado,Larimer,08069
South Carolina,Horry,45051
Pennsylvania,Westmoreland,42129
Texas,Nueces,48355
Texas,Galveston,48167
Indiana,Hamilton,18057
Oregon,Marion,41047
New Jersey,Somerset,34035
Tennessee,Rutherford,47149
New York,Rockland,36087
North Carolina,Cumberland,37051
Florida,St. Lucie,12111
